Bruxelles  Ville- Département / Stad Brussel - Departement;Type de marché (Travaux, fournitures, services - objet du marché - procédure de passation);Type opdracht  (werken, leveringen, diensten - voorwerp van de opdracht - plaatsingsprocedure);Date du marché - Datum van de opdracht;Bénéficiaires (opérateur économique à qui le marché a été attribué) / Begunstigden  (onderneming aan wie de opdracht werd toegewezen);Montant engagé TVAC / vastgelegd bedrag btwi
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures reconductible et à bordereau de prix ayant pour but l'achat de pièces d'origine et la réalisation de réparations, pendant 12 mois, des grues de la marque PALFINGER du département Travaux de Voirie conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, d, de la loi du 17/06/2016 (cahier des charges n°  CDA/010717).;Verlengbare overheidsopdracht voor leveringen tegen prijslijst met het doel het aankopen van originele wisselstukken en de verwezenlijking van herstellingen, gedurende 12 maanden, van de kranen van het merk PALFINGER van het departement Wegeniswerken  afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, d, van de wet van 17/06/2016 (bestek nr CDA/010717).;7/11/19;WTS-Hydraulics nv - Glasstraat 31 - 2170 Merksem;40.000,00
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la fourniture, pendant 60 mois, de papiers et cartons durables pour divers départements conclu par procédure ouverte en application de l'article 36 de la loi du 17/06/2016 (cahier des charges n° CDA/010051).- Fournitures complémentaires.;Overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 60 maanden, van duurzaam papier en karton voor verschillende departementen overeenkomstig artikel 36 van de wet van 17/06/2016 (bestek nr CDA/010051).- Bijkomende leveringen.;28/11/19;Igepa belux nv - Nijverheidslaan 4 - 9880 Aalter;64.791,14
Centrale d'Achats / Aankoopcentrale;Marché public de services ayant pour but le nettoyage, pendant 12 mois, des locaux professionnels de l'ASBL BRAVVO conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/011013).;Overheidsopdracht voor diensten met doel de schoonmaak, gedurende 12 maanden, van de bedrijfsruimte van de VZW Bravvo afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/011013).;28/11/19;Europe Cleaning Services SPRL - avenue du Cimetière de Bruxelles 57B - 1140 Bruxelles;85.042,84
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures ayant pour but la fourniture d'équipements didactiques pour chambre froide et installation solaire pour l'Institut des Arts et Métiers du département Instruction Publique conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010961).;Overheidsopdracht voor leveringen met het doel de levering van didactische uitrustingen voor koelcel en zonne-installatie voor het 'Institut des Arts et Métiers' van het departement Openbaar Onderwijs afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010961).;28/11/19;Erm Automatismes Industriels - Allée Bellecour 561 - 84200 Carpentras - France;36.517,80
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures ayant pour but la fourniture, l'installation, le câblage, la configuration et la mise en service prête à l'emploi de systèmes de jeux interactifs projetés pour 2 écoles du département Instruction Publique conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010974).;Overheidsopdracht voor leveringen met het doel de levering, installatie, bedrading, configuratie en bedrijfsklare indienststelling van geprojecteerde interactieve spelsystemen voor 2 scholen van het departement Openbaar Onderwijs afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010974).;5/12/19;Idemasport SA - avenue Léopold Wiener 98 - 1170 Bruxelles;49.000,00
Centrale d'Achats / Aankoopcentrale;Marché public de services en 2 lots ayant pour but l'actualisation et le développement, pendant 36 mois, d'un schéma de développement commercial ainsi que le développement, la mise à jour et la maintenance, pendant 48 mois, d'un web-observatoire du commerce conclu par procédure négociée directe avec publication préalable en application de l'article 41, § 1er, 1° de la loi du 17/06/2016 (cahier des charges n°  CDA/010763).;Overheidsopdracht voor diensten in 2 percelen met het doel het actualiseren en ontwikkelen, gedurende 36 maanden, van een commercieel ontwikkelingsschema, en het ontwikkelen, actualiseren en onderhouden, gedurende 48 maanden, van een webobservatorium voor de handel afgesloten via vereenvoudigde onderhandelingsprocedure met  voorafgaande bekendmaking overeenkomstig artikel 41, § 1, 1° van de wet van 17/06/2016 (bestek nr CDA/010763).;12/12/19;CityD nv - Centrum-Zuid 1111 - 3530 Houthalen-Helchteren;198.365,58
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la fourniture de camionnettes pour la cellule Parc Automobile du département Travaux de Voirie conclu par procédure négociée directe avec publication préalable en application de l'article 41, § 1er, 1° de la loi du 17/06/2016 (cahier des charges n°  CDA/010788).;Overheidsopdracht voor leveringen tegen prijslijst met het doel de levering van bestelwagens voor de cel Autopark van het departement Wegeniswerken afgesloten via vereenvoudigde onderhandelingsprocedure met  voorafgaande bekendmaking overeenkomstig artikel 41, § 1, 1° van de wet van 17/06/2016 (bestek nr CDA/010788).;12/12/19;Brussels Truck Center bvba - Zone Maalbeek - Rijshout - 1702 Groot-Bijgaarden;245.025,00
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures en 2 lots ayant pour but la fourniture de tondeuses à gazon avec 4 roues motrices pour la cellule Zones Vertes du département Travaux de Voirie conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n° CDA/010759).;Overheidsopdracht voor leveringen in 2 percelen met het doel de levering van grasmaaiers met 4 wielaandrijving voor de cel Groene Zones van het departement Wegeniswerken afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010759).;19/12/19;Firma Thomas - Brusselsesteenweg 144 - 1785 Merchtem + Greenagri SPRL - rue des Poiriers 3 - 5030 Gembloux;122.499,61
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la fourniture de camionnettes de type pick-up pour la cellule Propreté Publique du département Travaux de Voirie conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n° CDA/010785).;Overheidsopdracht voor leveringen tegen prijslijst met het doel de levering van bestelwagens van het type pick-up voor de cel Openbare Reinheid van het departement Wegeniswerken conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n° CDA/010785).;19/12/19;Vanspringel Automobiles SA - rue Américaine 12-14 - 1060 Bruxelles;82.280,00
Travaux de Voirie / Wegeniswerken;"Marché public de fournitures, conclu par appel d'offres général (loi du 24/12/1993), ayant pour objet : lot 1 : la fabrication, la fourniture, le placement et la mise en service d'une quantité présumée de 14 unités d’urinoirs accessible à au moins 2 personnes par édicule ; lot 2 : la fabrication, la fourniture, le placement, la mise en service, l’entretien et la maintenance d'une quantité présumée de 3 toilettes publiques accessibles aux personnes à mobilité réduite (dossier TV/2008/09/PP).- Dépense supplémentaire.";"Overheidsopdracht voor leveringen, gegund via algemene offerteaanvraag (wet van 24/12/1993), met als voorwerp : perceel 1 : de aanmaak, levering, plaatsing en inwerkingstelling van een vermoedelijke hoeveelheid van 14 units urinoirs, die minimaal toegankelijk zijn voor 2 personen ; perceel 2 : de aanmaak, levering, plaatsing, inwerkingstelling, onderhoud en  instandhouding van een vermoedelijke hoeveelheid van 3 openbare toiletten toegankelijk voor personen met beperkte mobiliteit (dossier TV/2008/09/PP).- Meeruitgave.";16/05/2019;Francioli SA, Z.A. de la Bare, 01480 Chaleins (France);68.672,40
Travaux de Voirie / Wegeniswerken;Marché public de travaux, conclu par procédure négociée directe avec publicité en application de l'article 26 § 2, 1° d) de la loi du 15/06/2006, ayant pour but tous les travaux et toutes les livraisons nécessaires pour l’application de différents marquages au sol sur les voies communales de la ville de Bruxelles, pendant une période de 24 mois (dossier TV/2016/88/EP).- Dépense supplémentaire.;Overheidsopdracht voor werken, gegund bij vereenvoudigde onderhandelingsprocedure met bekendmaking in toepassing van het artikel 26 § 2, 1° d) van de wet van 15/06/2006, met als voorwerp alle werken en leveringen voor het aanbrengen van verschillende wegmarkeringen op de gemeentewegen van de stad Brussel gedurende een periode van 24 maanden (dossier TV/2016/88/EP).- Meeruitgave.;7/02/2019;SIGNCO BVBA, Jozef de Blockstraat 74, 2830 Willebroek;111.928,61
Travaux de Voirie / Wegeniswerken;Marché public de travaux reconductible, conclu par procédure ouverte en application de l'article 36 § 1 de la loi du 17/06/2016, ayant pour but la fourniture, le placement, le montage, la mise en service, le démontage et l'enlèvement, ainsi que les travaux d’entretien et de maintenance de la signalisation routière lumineuse et des contrôleurs de trafic pour installations de signalisation à feux se trouvant sur la voirie gérée par la ville de Bruxelles, pendant une période de 12 mois (dossier TV/2018/65/EP).- Reconduction pour une année.;Verlengbare overheidsopdracht voor werken, gegund bij openbare procedure in toepassing van het artikel 36 § 1 van de wet van 17/06/2016, met als voorwerp de levering, de plaatsing, montage, indienststelling, ontmanteling en verwijdering alsook de onderhouds- en instandshoudingswerken van de verlichte wegsignalisatie en van verkeersregelaars voor seininstallaties met verkeerslichten langs de wegen beheerd door de stad Brussel, gedurende een periode van 12 maanden (dossier TV/2018/65/EP).- Verlenging voor één jaar.;24/10/2019;société momentanée VSE - Sirien 3, avenue de Béjar 1b, 1120 Bruxelles;228.877,04
Travaux de Voirie / Wegeniswerken;Marché public de fournitures, conclu par procédure négociée sans publication préalable en application de l'article 42 § 1, 1° a) de la loi du 17/06/2016, ayant pour but la fourniture de diverses variétés de bulbes (dossier TV/2019/05/EV).;Overheidsopdracht voor leveringen, gegund bij onderhandelingsprocedure zonder voorafgaande bekendmaking in toepassing van het artikel 42 § 1, 1° a) van de wet van 17/06/2016, met als voorwerp de levering van verschillende variëteiten bloembollen (dossier TV/2019/05/EV).;24/10/2019;Uittenbogaard en Zonen BV, Robijnslaan 43, 2211 Noordwijkerhout (Nederland);46.236,19
Travaux de Voirie / Wegeniswerken;Marché public de travaux, conclu par procédure négociée sans publication préalable en application de l'article 42 § 1, 1° a) de la loi du 17/06/2016, ayant pour but la réfection de pelouses au moyen de rouleaux de gazon ou par semis dans le parc de Bruxelles (dossier TV/2019/59/EV).;Overheidsopdracht voor werken, gegund bij onderhandelingsprocedure zonder voorafgaande bekendmaking in toepassing van het artikel 42 § 1, 1° a) van de wet van 17/06/2016, met als doel de herstelling van grasperken door middel van graszoden en door inzaaiing in het Warandepark (dossier TV/2019/59/EV).;5/12/2019;Krinkels NV, Weversstraat 39, 1840 Londerzeel;59.689,30
Travaux de Voirie / Wegeniswerken;Marché public de services, conclu par procédure négociée sans publication préalable en application de l'article 42 § 1, 1° a) de la loi du 17/06/2016, ayant pour but les études relatives à l'implantation ponctuelle de mobilier urbain destiné à la signalisation touristique et socioculturelle ou à l'adaptation du mobilier existant sur le territoire de la Ville de Bruxelles (dossier TV/2019/81/EP).;Overheidsopdracht voor diensten, gegund bij onderhandelingsprocedure zonder voorafgaande bekendmaking in toepassing van het artikel 42 § 1, 1° a) van de wet van 17/06/2016, met als doel de studies met betrekking tot de plaatselijke inplanting van stadsmeubilair bestemd voor de toeristische en socioculturele signalisatie of de aanpassing van het bestaande meubilair op het grondgebied van de Stad Brussel (dossier TV/2019/81/EP).;19/12/2019;SDESIGN SPRL, rue Franz Merjay 148C, 1050 Bruxelles;59.610,35
Travaux de Voirie / Wegeniswerken;Marché public de travaux, conclu par procédure ouverte en application de l'article 36 § 1 de la loi du 17/06/2016, ayant pour but l’aménagement de pistes cyclables sur le territoire de la Ville de Bruxelles (dossier TV/2019/88/EP).;Overheidsopdracht voor werken, gegund bij openbare procedure in toepassing van het artikel 36 § 1 van de wet van 17/06/2016, met als doel de aanleg van fietspaden op het grondgebied van de Stad Brussel (dossier TV/2019/88/EP).;12/12/2019;Eurovia SA, allée Hof ter Vleest 1, 1070 Bruxelles;2.600.000,00
